Sentence,Polarity,Subjectivity
 pictwittercomhgE37yPWHZ,0.0,0.0
Wonder what the ‘I stand with Dan’ crowd will do when the ABC does their Dan like a dinner 🤷‍♀️😱? https:twittercom4cornersstatus1293726334166814720 …,0.0,0.0
Andrews lies about the ADF offer from ScottMorrisonMP cannot be dismissed because it’s in the ‘past’ We are all living with the catastrophic consequences of Labor’s decisions in the present Today  all current cases of Covid-19 can be traced back to the hotel quarantine fiasco https:twittercomrwillinghamstatus1293738606637404160 …,-0.0625,0.1625
Crisp needs to front the media and explain himself,0.25,0.4166666666666667
Sounds like Andrew Crisp was present,0.125,0.20833333333333334
ScottMorrisonMP told the media on March 27:  “we will be supporting them also by providing members of the Australian Defence Force to assist in the compliance with these arrangements”  Daniel Andrews is lying & Andrew Crisp is in a lot of trouble   https:wwwpmgovaumediapress-conference-australian-parliament-house-act-270320 …,0.075,0.21666666666666667
I’ll just repost Daniel Andrews media release from March 27 that said: “It has also been agreed that the ADF will be engaged to support the implementation of these arrangements” pictwittercomh1rb2jORek,0.0,0.0
I’ve concluded that Daniel Andrews must have been asleep 😴 during a number of National Cabinet meetings 💤 or he’s just lying again about his refusal of ADF assistance in the management of hotel quarantine  https:wwwpmgovaumediaupdate-coronavirus-measures-270320 …,0.0,0.0
 pictwittercomE3cDHPRMhv,0.0,0.0
What about what the Premier discussed and was offered at National Cabinet ?🤬🤦🏼‍♀️👎 https:twittercomsharnellevellastatus1293100983434665985 …,0.0,0.0
Daniel Andrews lied   He was offered ADF personnel in MarchHe refused  Andrews used bouncers not the ADF and police to run hotel quarantine   They were untrained and allowed the virus to get back into the community   This Labor government failure caused the 2nd wave https:twittercom9newsmelbstatus1293096676421492737 …,-0.10555555555555557,0.09999999999999999
Daniel Andrews told a Parliamentary Committee “I don’t believe ADF support was on offer”  Read the below statement from Defence Minister lindareynoldswa ADF personnel were offered in March   Daniel Andrews refused the offer  Andrews has lied  this man cannot be trusted pictwittercomyzFuYQ0D7R,0.0,0.0
 pictwittercom2oFq29jC4u,0.0,0.0
Obsessed lefties I’m not on QandA tonight my friend and colleague TimWilsonMP is Please direct your irrational abuse at him and not me for a change I won’t be watching because it’s a biased show with an awful presenter  but if you’re to abuse someone get the right Tim ,-0.2785714285714286,0.7339285714285714
Looking forward to speaking with BenFordhamLive on 2GB873 after the 8am news ,0.0,0.0
Looking forward to speaking with SharriMarkson very soon on SkyNewsAust  https:twittercomsharrimarksonstatus1292367296401301504 …,0.2,0.3
 https:twittercomskynewsauststatus1292269299063615488 … pictwittercomcAzwgTlTT8,0.0,0.0
Spot on JoshFrydenberg Victorians deserve answers from the Andrews Labor govt about the greatest public administration failure in 🇦🇺history that has resulted in the 2nd wave of Covid-19  deaths and economic catastrophe  & the most extreme lockdown Melbourne has ever endured https:twittercomabcnewsstatus1291960175113285632 …,0.17976190476190476,0.43809523809523804
Exemptions to the curfew are to receive or give care & to go to or from work  and apparently to get high🤦🏻‍♂️🤬We are all doing our best  we are adhering to this extreme lockdownBut Premier  the rules must apply equally to everyone  including those with illicit drug addiction https:twittercomheidimurstatus1291913272346546176 …,0.23125,0.475
Why wasn’t the BLM organisers in June arrested before their protest too? nswpolice ensured the last BLM protest in Sydney didn’t go ahead They successfully applied for a court order to stop it They arrested the protesters Why didn’t VictoriaPolice do the same ? https:twittercom9NewsMelbstatus1291532551073325056 …,0.25,0.38055555555555554
